level,concept,mean_act_cosine
1,beverage,0.7121021052201589
1,building,0.6705234760329837
1,clothes,0.7055681603295463
1,container,0.6311613136813754
1,emotion,0.6273197801340193
1,food,0.7172938173725492
1,furniture,0.6606115088576362
1,insect,0.6089037968998864
1,mammal,0.7125820091792515
1,plant,0.6696048151879084
1,technology,0.6728803231602624
1,tool,0.63006734422275
1,toy,0.6680102632159278
1,vehicle,0.6706730865296864
1,weapon,0.6589094769387018
2,beetle,0.7033162514368693
2,blade,0.5756387213865916
2,bottle,0.6643204135554177
2,car,0.7432758481729598
2,computer,0.6710980591319856
2,doll,0.6656108228933244
2,feline,0.6669486108280364
2,footwear,0.6594196075484866
2,happiness,0.6559939058054061
2,house,0.9905867973963419
2,knife,0.5674873533703032
2,liquor,0.6343011444523221
2,seating,0.6751003322147188
2,tree,0.7500328464167458
2,vegetable,0.621084695770627
3,boot,0.5505675716059548
3,carrot,0.6908462941646576
3,cat,0.7429031630357107
3,chair,0.6671842677252633
3,elation,0.6963995468048823
3,flask,0.5375137839998517
3,ladybug,0.6689887103580293
3,laptop,0.6689396472204299
3,mansion,0.692277403104873
3,oak,0.5512339898518154
3,puppet,0.6513675579002925
3,scalpel,0.6671245126497178
3,sedan,0.7052505924588158
3,sword,0.575735214210692
3,wine,0.7347114668005988
